2023,May 2,104 Rockets,"One hundred and fourrockets and a mortar shell were fired from the Gaza Strip into southern Israel, 59 landed in uninhabited areas. 24 were intercepted by the Iron Dome, 14 failed to cross the border and landed inside the Gaza Strip, and 7 rockets remain unaccounted for."
2023,April 9,3 Rockets,"Threerockets were fired from Syria toward the Golan Heights, one falling in an open area and one intercepted by the Iron Dome. The third rocket did not cross into Israeli territory."
2023,April 8,3 Rockets,"Threerockets were fired from Syria toward the Golan Heights, one of the rockets fell in an open area in the southern Golan Heights, while another fell in Jordanian territory."
2023,April 6-7,40+ Rockets,More than40rockets were fired from Gaza. One of the rockets fell on a home in Sderot and 14 fell in open areas. No injuries were caused by the rocket fire.
2023,April 6,34 Rockets,"Thirty-fourrockets were fired from Lebanon, of which Israeli air-defense systems intercepted 25, and five landed in Israeli territory."
2023,April 5,16 Rockets,"Sixteenrockets were fired from Gaza. Most were shot down or fell in open areas.  One of the rockets struck a factory in Sderot, but no casualties were reported."
2023,February  23,6 Rockets,"Sixrockets fired from Gaza; five were intercepted by Iron Dome, the sixth fell in an open area."
2023,February  11,1 Rocket,Onerocket was fired from Gaza and was intercepted by Iron Dome.
2023,February 1,1 Rocket,Onerocket was fired from Gaza and was intercepted by Iron Dome.
2023,January 3,1 Rocket,Onerocket fired from Gaza landed in an open field inside the Gaza Strip.
2022,December 3,1 Rocket,Onerocket fired from Gaza landed in an open field near the communities of Nahal Oz and Kfar Aza.
2022,November 3,4 Rockets,"Fourrockets were fired from Gaza, one was intercepted by Israeli air defense systems, while three landed inside Gaza."
2022,August 5-8,"1,100 Rockets","An estimated1,100rockets were launched from Gaza by Islamic Jihad. At least 200 malfunctioned and exploded within the Gaza Strip, and the Iron Dome intercepted 380."
2022,July 16,4 Rockets,"Fourrockets were fired from Gaza, one was intercepted by Israeli air defense systems, while three fell into open areas."
2022,June 18,1 Rocket,Onerocket fired from Gaza toward Ashkelon was intercepted.
2022,April 22,3 Rockets,"Threerockets were fired from the Gaza Strip at Israel, with two exploding inside the enclave."
2022,April 20,1 Rocket,Onerocket fired from Gaza landed in Sderot. No injuries were reported but several people were being treated for shock.
2022,April 18,1 Rocket,Onerocket fired from Gaza was intercepted by Iron Dome.
2021,September 11,1 Rocket,Onerocket fired from Gaza was intercepted by Iron Dome.
2021,September 10,1 Rocket,Onerocket fired from Gaza was intercepted by Iron Dome.
2021,August 16,1 Rocket,Onerocket fired from Gaza was intercepted by Iron Dome.
2021,May 10-20,"4,369 Rockets","More than4,369rockets were launched toward Sderot, Ashkelon, Ashdod, Jerusalem and neighboring communities. Ten Israelis were killed. More than 90 percent of projectiles heading toward populated areas were intercepted by Iron Dome. Roughly a third of the rockets landed inside the Gaza Strip. Most of the others landed in open fields."
2021,May 9,6 Rockets,"Sixrockets were fired from Gaza. Two were intercepted by the Iron Dome, two fell in open areas and two landed in the Gaza Strip."
